Lieu;Latitude;Longitude
Hollande;52.13263;5.29127
Gand;51.05434;3.71742
Arras;50.29103;2.77754
Bruges;51.20935;3.22470
Ruremonde;51.19750;5.98750
Harlem;52.38739;4.64622
Amiens;49.89406;2.29576
Namur;50.46739;4.87199
Avignon;43.94932;4.80553
Ypres;50.85136;2.88528
Flandres;51.00000;3.75000
Saintes;45.74556;-0.62917
Marseille;43.29648;5.36978
Grenoble;45.18853;5.72452
Béziers;43.34484;3.21578
Toul;48.67839;6.14665
Strasbourg;48.57341;7.75211
Limoges;45.83362;1.26110
Noyon;49.60000;3.00000
Laon;49.56389;3.62444
Rouen;49.44323;1.09933
Bayeux;49.27667;-0.70000
Belgique;50.50389;4.46994
Amsterdam;52.37022;4.89517
Angers;47.47842;-0.56316
Reims;49.25833;4.03167
Bordeaux;44.83779;-0.57918
Toulon;43.12423;5.92800
Metz;49.11931;6.17572
Uzès;44.01556;4.41444
Deventer;52.25583;6.16306
Sens;48.19806;3.28306
Autun;46.94806;4.29528
Rennes;48.11727;-1.67779
Meaux;48.95833;2.88111
Trèves;49.74999;6.63711
Orléans;47.90296;1.90925
non mentionné;;
Toulouse;43.60465;1.44400
Mende;44.51778;3.50111
Boulogne-sur-Mer;50.72639;1.61472
Cahors;44.44778;1.44028
Nantes;47.21837;-1.55362
Nice;43.71017;7.26195
Châlons;48.95694;4.36278
Rodez;44.35000;2.57500
Province de Bourgogne;47.05296;4.38328
Bazas;44.47222;-0.28361
Lisieux;49.14611;0.22972
Bruxelles;50.85034;4.35171
Viviers;44.55861;4.70278
Verdun;49.15972;5.38472
Saint-Malo;48.64933;-2.02567
Nevers;46.98972;3.15972
Province de Lyon;45.76404;4.83566
Séez;48.67639;0.04028
Genève;46.20439;6.14316
Auxerre;47.79889;3.57306
Carpentras;44.05278;5.05278
Groningue;53.21938;6.56650
Orange;44.0818;4.3835
Coutances;49.04472;-1.45528
Auch;43.64861;0.58861
Montauban;44.01778;1.35472
Turin;45.07034;7.68686
Langres;47.86472;5.33528
Evreux;49.02361;1.15000
Tarbes;43.23333;0.08333
Troyes;48.29728;4.07444
